ug,uw,mu_gas,mu_liq,muf_tot,sw_ave,muf_in,fg_in,fg_out,muf_err,dp_tot,dp_mid,dp_err
0.000017914,0,1.93835640819846E-05,0.0009525762,0.0286622109,0.2578544597,0.0081165401,1,1,0.0051227356,0.3594411924,0.0478994101,0.0642421553
1.45607183322309E-05,0.000001837,1.95679399144965E-05,0.0009524436,1.158588453,0.155840003,1.0991826981,0.8810150383,0.8810150383,0.0305786844,13.2995410579,5.9377021436,0.3510154691
1.4940597843624E-05,1.46957472845702E-06,1.95726178767362E-05,0.0009524403,1.16022652,0.155608431,1.0343449387,0.9047334526,0.9047334526,0.0195680338,13.3284856767,5.5917079527,0.2247942567
1.17498394047143E-05,4.40872418537106E-06,1.95437474925597E-05,0.0009524606,0.9883101323,0.1731051815,1.0886583678,0.7154647244,0.7154647244,0.0260049519,11.1794611944,5.7950916076,0.2941600431
2.85696111639015E-05,0.000001837,1.96601411398402E-05,0.0009523795,0.8513798344,0.1596104938,0.7592585874,0.9343700851,0.9343700851,0.0118837152,18.1224037509,7.6054203201,0.2529558215
0.000029938,7.34787364228508E-07,1.95353673241258E-05,0.0009524666,0.4892077775,0.1612245946,0.3772565907,0.9747250923,0.9747250923,0.0072106493,10.5043974531,3.8120245963,0.1548289485
