"ug","uw","mu_gas","mu_liq","muf_tot","sw_ave","muf_in","fg_in","fg_out","muf_err","dp_tot","dp_mid","dp_err"
1.011574858307257e-5,4.408724185371063e-6,1.969969273210819e-5,0.0009523524498479937,0.42134945199738294,NaN,0.32888079680003995,0.6919285760342214,0.6919285760342214,0.020369662014730894,4.2841797422680425,1.5736379896907216,0.20711381715740068
8.749764881843545e-6,5.878298913828084e-6,1.9674213829660262e-5,0.000952369858221058,0.35589612440405416,0.2632279198686958,0.27511663078658594,0.5937231170267602,0.5937231170267602,0.01508097299674537,3.6444750184522174,1.3257744001652438,0.15443334605743428
5.732936812684103e-6,8.817448370742126e-6,1.972314191108221e-5,0.0009523365174535511,0.6842834145585235,0.2586298592947261,0.5865060496251896,0.38587373700633504,0.38587373700633504,0.014350688580324575,6.970041715653897,2.811337108982827,0.14617466377985058
7.250684651413146e-6,7.347873642285102e-6,1.968990498847255e-5,0.0009523591252655498,0.543928472318907,0.2559513742837501,0.47342161758895673,0.48974284330359213,0.48974284330359213,0.013798106066224412,5.558743498196948,2.2767953314840503,0.14101143125687912
1.3316240151672402e-5,1.4695747284570205e-6,1.963429388719931e-5,0.0009523973403447062,0.17456009835648212,0.2614825222880659,0.1271234133924592,0.8997730730884923,0.8997730730884923,0.016323247710573946,1.8068209422150878,0.6192082712680576,0.1689572020531248
1.0270676342226736e-5,4.40872418537106e-6,1.9657260509492045e-5,0.0009523814982529173,0.2838798873587587,0.27643689952669087,0.2219225489679442,0.6965380086081618,0.6965380086081618,0.011198646349780088,2.9172108343558287,1.0731877116564417,0.11507970066372468
2.847885728235549e-6,1.1756597827656168e-5,1.9741839566357465e-5,0.0009523238738009601,0.8269191193345389,0.2573968318934009,0.7126214261586841,0.18864360086721071,0.18864360086721071,0.011389802534310609,8.454231011350736,3.4285541963677644,0.11644672320095915
1.4312964678345894e-6,1.3960959920341696e-5,1.9727015934410857e-5,0.0009523338934055814,0.6930923654625568,0.26678835787737865,0.5933161802793134,0.08995285142576197,0.08995285142576197,0.009432562085573215,7.46824018968386,3.0085305074875204,0.10163816941217159
1.178202200872883e-5,2.9391494569140428e-6,1.9646941499430757e-5,0.0009523886056703683,0.21555105354920948,0.27560790818804726,0.16018073103305133,0.7985224114617447,0.7985224114617447,0.009451440879820682,2.221352056949807,0.77681675,0.09740141508858871
4.282674001231064e-6,1.0287023099199145e-5,1.973452782632757e-5,0.0009523288117890347,0.8587647754749381,0.25327623568214525,0.7422320346299454,0.28518691933493995,0.28518691933493995,0.016966340999363623,8.758901020212763,3.562510527304965,0.1730468059852794
