ut,muf_tot,muf_in,fg_in,fg_out,dp16,dp40,P_in
0.000014628,0.031788,0.012715,0.2962,0.29732,0.09,0.45,80.45
0.000014603,0.036796,0.0084914,0.39545,0.39693,0.06,0.52,80.52
0.000014576,0.043245,0.015596,0.49498,0.4968,0.11,0.61,80.61
0.000014547,0.049723,0.02273,0.59491,0.59693,0.16,0.7,80.7
0.000014515,0.059089,0.029901,0.69521,0.69731,0.21,0.83,80.83
0.00001447,0.078552,0.038562,0.79583,0.79795,0.27,1.1,81.1
0.000014415,0.1043,0.043011,0.89726,0.89884,0.3,1.455,81.455
0.000014409,0.095739,0.035857,0.94862,0.94939,0.25,1.335,81.335
0.000014424,0.068059,0.021492,0.97951,0.97974,0.15,0.95,80.95
0.000014445,0.089418,0.042921,0.84644,0.84836,0.3,1.25,81.25
0.000014496,0.065581,0.034216,0.74552,0.74759,0.24,0.92,80.92
0.00001447,0.048562,0.014283,0.9898,0.98988,0.1,0.68,80.68
