"uw","ug","dp_ave","mu_gas","mu_water","mu_foam"
5.878298913828083e-6,7.631195317406847e-6,9.545421120921306,1.810220571389312e-5,0.00095376230809645,0.8185025971292214
7.347873642285104e-7,1.1820563414304008e-5,11.057196430434782,1.8115070655984524e-5,0.0009537465985598759,1.020188051850802
2.9391494569140415e-6,9.713494231121294e-6,12.034611721175587,1.8127474879100765e-5,0.0009537315700561279,1.101830687128639
2.9391494569140415e-6,1.081396931782149e-5,12.626156159999999,1.813318155436578e-5,0.0009537246944592522,1.063491496010985
4.408724185371063e-6,8.545673694316281e-6,11.376346203856748,1.812401946004951e-5,0.0009537357449692618,1.0173013644848241
7.347873642285104e-6,6.214509027375473e-6,10.559674964157706,1.8114524960909767e-5,0.0009537472623564814,0.9019420090454713
2.9391494569140415e-7,1.4097930574306044e-5,2.2758536855614975,1.8042845135698184e-5,0.0009538364926517302,0.18318584323241996
2.2043620926855314e-6,1.0011168912075963e-5,13.954430048040457,1.814432471722154e-5,0.0009537113374734422,1.3233167553352565
1.0287023099199146e-6,1.1987719110328294e-5,8.538583985143918,1.8095611417064136e-5,0.0009537704098151005,0.7599032682942359
3.673936821142552e-6,8.921074739815558e-6,13.118051400355872,1.8138784022042768e-5,0.000953717967658455,1.2065208088738517
8.817448370742126e-6,5.059326078383185e-6,9.819530493150685,1.8105444239331776e-5,0.0009537583415708793,0.8197213611281178
1.1756597827656166e-5,2.6120677800543943e-6,8.105175121212122,1.8087973402475718e-5,0.000953779836272387,0.6534464812081385
1.3226172556113187e-5,1.355317169744355e-6,6.124361242320816,1.8069773938880786e-5,0.0009538024840626386,0.4865449419332826
5.143511549599573e-6,8.027475290374825e-6,10.974531954248366,1.811809285893658e-5,0.0009537429263473721,0.9652320863572353
1.0287023099199147e-5,3.914513845494818e-6,8.15928641727941,1.8089736003758738e-5,0.0009537776568871717,0.6655503089879753
7.347873642285104e-7,1.3193698480961132e-5,4.828849013391467,1.8059945891913577e-5,0.0009538148260177789,0.40160931548419443
1.4695747284570208e-6,1.3363472799618664e-5,14.73011682567948,1.8157837788007015e-5,0.000953695259663692,1.1503761303936761
