"uw","ug","dp_ave","mu_gas","mu_water","mu_foam"
5.878298913828083e-6,7.631195317406847e-6,9.545421120921306,1.810220571389312e-5,0.00095376230809645,0.8185025971292214
1.1756597827656166e-5,7.779810270757168e-6,8.559882233333333,1.8092278541060536e-5,0.0009537745174529407,0.5075596973871044
1.763489674148425e-5,7.850235258951347e-6,7.681348082969433,1.8087723065739243e-5,0.0009537801460025846,0.3491520668143651
2.9391494569140415e-6,7.445380014638763e-6,10.7011094379085,1.8115253726238633e-5,0.0009537463759192275,1.1937298150590854
1.4695747284570208e-6,7.3827580780685635e-6,11.047093101587302,1.8119819893798986e-5,0.0009537408309505533,1.445620638776359
7.347873642285104e-7,1.1820563414304008e-5,11.057196430434782,1.8115070655984524e-5,0.0009537465985598759,1.020188051850802
7.347873642285104e-7,2.228999386502883e-5,13.922369607296138,1.814792408903922e-5,0.000953707042209356,0.7004573640716616
7.347873642285104e-7,6.277403647695971e-6,7.07647410834236,1.8083894670119588e-5,0.0009537848888863743,1.1690342711849033
2.9391494569140415e-6,9.713494231121294e-6,12.034611721175587,1.8127474879100765e-5,0.0009537315700561279,1.101830687128639
2.9391494569140415e-6,1.8458654268164073e-5,15.057763648769576,1.815671856449678e-5,0.0009536965863816396,0.8151834149266508
2.9391494569140415e-6,5.038947040808932e-6,9.830293882943145,1.810756934519535e-5,0.0009537557431317811,1.4273526162134784
1.4695747284570208e-6,1.0631752725584448e-5,13.078648588679245,1.8142814319266176e-5,0.000953713142665395,1.2519699840945286
1.4695747284570208e-6,5.620260158917395e-6,10.450246524784482,1.811202056110418e-5,0.0009537503116599108,1.7074754705008592
2.9391494569140415e-6,1.081396931782149e-5,12.626156159999999,1.813318155436578e-5,0.0009537246944592522,1.063491496010985
4.408724185371063e-6,1.0774533606693632e-5,12.536550679104476,1.813523472810888e-5,0.000953722226581398,0.9564827755320003
5.878298913828083e-6,1.0986323292353413e-5,11.941521134545455,1.8124405399929353e-5,0.0009537352782281165,0.8202516140575037
4.408724185371063e-6,8.545673694316281e-6,11.376346203856748,1.812401946004951e-5,0.0009537357449692618,1.0173013644848241
2.2043620926855314e-6,8.427792859387398e-6,12.408919185185185,1.813171229736889e-5,0.0009537264623775563,1.352000080983709
8.817448370742126e-6,8.666062865109782e-6,11.022696176470586,1.8116408901015848e-5,0.0009537449716384226,0.7303368915754824
4.408724185371063e-6,1.5933985760940535e-5,15.197130272469254,1.8164297550781863e-5,0.0009536876195374407,0.8653998953013842
4.408724185371063e-6,4.393094795110694e-6,10.172102037815126,1.8109051362931834e-5,0.0009537539330636122,1.3387587866403636
7.347873642285104e-6,6.214509027375473e-6,10.559674964157706,1.8114524960909767e-5,0.0009537472623564814,0.9019420090454713
3.673936821142552e-6,6.213942958053898e-6,11.308086720779219,1.811457385831307e-5,0.0009537472028673345,1.3247990613972545
1.836968410571276e-6,6.246709592333649e-6,11.062348370967742,1.8111760067223776e-5,0.0009537506291047791,1.5852668711049813
7.347873642285104e-6,1.2153723615005114e-5,12.66282134358974,1.8126721394435506e-5,0.0009537324796774297,0.7521844572300354
2.9391494569140415e-7,1.4097930574306044e-5,2.2758536855614975,1.8042845135698184e-5,0.0009538364926517302,0.18318584323241996
