ut,muf_tot,muf_in,fg_in,fg_out,dp16,dp40,P_in
0.000014614,0.069293,0.02404,0.29489,0.29732,0.17,0.98,80.98
0.000014574,0.095715,0.04254,0.3931,0.39693,0.3,1.35,81.35
0.000014544,0.096628,0.031262,0.49276,0.4968,0.22,1.36,81.36
0.00001452,0.087535,0.022773,0.5934,0.59693,0.16,1.23,81.23
0.000014498,0.078399,0.01568,0.69454,0.69731,0.11,1.1,81.1
0.000014486,0.061701,0.018546,0.79628,0.79795,0.13,0.865,80.865
0.000014475,0.047828,0.014277,0.89811,0.89884,0.1,0.67,80.67
0.000014483,0.03068,0.0092753,0.94914,0.94939,0.065,0.43,80.43
0.000014485,0.016408,0.011414,0.97968,0.97974,0.08,0.23,80.23
0.0000146,0.070066,0.02831,0.34443,0.3471,0.2,0.99,80.99
